dayofyear,Food,Shop & Service
2020-01-03,-3.4377591434802457,0.9515270179156765
2020-01-04,-8.126278761213479,-2.6330907250717517
2020-01-05,-8.569234937417958,-1.581949881566802
2020-01-06,0.0,2.326024768882662
2020-01-07,0.0,3.515667648188403
2020-01-08,-5.202954376644131,-4.5081686271022825
2020-01-09,-0.017578079428837157,0.7671335490673226
2020-01-10,0.0,-3.686974144411659
2020-01-11,5.006038404610469,3.4649948515139917
2020-01-12,1.4344499800269306,2.5484838225311
2020-01-13,2.4025144802792164,0.6776086563994088
2020-01-14,-0.4397590951120023,0.0
2020-01-15,0.4560037472636891,0.08407605067706214
2020-01-16,-0.022258560037413666,0.0
2020-01-17,-1.8457089664295157,-0.46897352870493014
2020-01-18,-21.215126152802,-14.055649618129106
2020-01-19,-0.2898242102784665,-6.0260730000417535
2020-01-20,22.942927725465758,25.24188848310198
2020-01-21,1.0861174857906608,1.6542492375262174
2020-01-22,0.23338480950374496,0.0
2020-01-23,6.7966513798632056,5.153074598424756
2020-01-24,4.399422667589481,0.7423918470935265
2020-01-25,-7.716092248036476,-11.11784331924348
2020-01-26,0.0,0.0
2020-01-27,-0.858587142598477,-3.4057966189509403
2020-01-28,-4.014666983447734,-4.971392278813402
2020-01-29,-5.037754131665562,-5.922214138831716
2020-01-30,0.5374350387082893,-1.7001804374377039
2020-01-31,-0.9186190497420865,-3.753950047442023
2020-02-01,3.2809549232905466,7.085918930570467
2020-02-02,-18.308853391278856,-7.770015558529197
2020-02-03,-1.44537066647773,-2.342663015602764
2020-02-04,-2.2129273746303135,-1.580150338713926
2020-02-05,-5.661969053807548,-4.261795010589475
2020-02-06,-8.303706520470088,-8.671784634841694
2020-02-07,-16.02822173773094,-16.6426292138521
2020-02-08,6.072809255591949,8.240063202957671
2020-02-09,1.2237763519836742,5.751775111668178
2020-02-10,-1.7354857652222888,-2.5357122607953198
2020-02-11,0.01780065269412212,3.0275262656251467
2020-02-12,2.2452923331567565,9.124030469237931
2020-02-13,1.716876379503618,10.521120586279142
2020-02-14,8.22228066158759,4.994428707353782
2020-02-15,0.0,0.0
2020-02-16,8.27090672675097,2.8687875690963427
2020-02-17,32.58650935997047,29.30936687641288
2020-02-18,11.543640835879243,7.767596843336766
2020-02-19,17.328463804799952,11.86206754279453
2020-02-20,18.022198289484525,13.357349791022344
2020-02-21,5.516337360099088,3.4087826636633123
2020-02-22,3.950365208658013,4.023073642398489
2020-02-23,3.559705282608072,3.2342271363224206
2020-02-24,1.0545737950934386,0.0
2020-02-25,0.6609601850831925,-1.965019573001292
2020-02-26,0.0,0.5543986821037183
2020-02-27,0.0,-0.08886529711304991
2020-02-28,0.3945817630822912,0.0
2020-02-29,8.610390699157989,10.66222124402394
2020-03-01,6.660024616618143,10.354115933181628
2020-03-02,4.867280872980384,6.32422662312242
2020-03-03,0.6611941999238979,3.7665142252438777
2020-03-04,3.4696911924557927,4.211627125689343
2020-03-05,6.69076559880164,6.933235435727836
2020-03-06,-3.948098640657405,-3.04349831445786
2020-03-07,8.053972288597432,10.467468265235901
2020-03-08,3.2624051041517443,5.272492956854924
2020-03-09,6.763011803024366,8.34646688795666
2020-03-10,-0.005925378241966595,6.4072445651433
2020-03-11,-2.279310377506172,7.516241908846744
2020-03-12,-4.623475022919054,26.417275847139045
2020-03-13,-16.563275353727814,15.31448462554783
2020-03-14,-21.944021601611187,1.223127928637191
2020-03-15,-30.63189794322789,-10.091812211586138
2020-03-16,-26.93476130939294,7.483550774054137
2020-03-17,-50.118284795332634,-16.35003780475024
2020-03-18,-53.25851565845687,-22.450296715401453
2020-03-19,-61.535348458590164,-32.696752550966345
2020-03-20,-74.9904604957283,-51.07893636341652
2020-03-21,-84.58803248230763,-69.53566240584131
2020-03-22,-75.55554756714693,-54.035125960772724
2020-03-23,-76.0945458682618,-60.425113335465966
2020-03-24,-68.42760200404928,-48.988393382731324
2020-03-25,-72.39960524967759,-53.04561421824046
2020-03-26,-68.26992894270283,-48.99180119028135
2020-03-27,-71.57477719626246,-53.17490731268435
2020-03-28,-79.76269613493923,-60.006531002055
2020-03-29,-79.73283361538842,-62.5562714097442
2020-03-30,-70.47125358428416,-52.0129646177304
2020-03-31,-71.00882089713629,-50.331711687909085
2020-04-01,-69.98657886128166,-49.06470757189143
2020-04-02,-70.13874874433375,-48.055072784178584
2020-04-03,-74.71934314985138,-53.279954012623
2020-04-04,-76.51014330526769,-58.269697586966316
2020-04-05,-78.14452701172287,-60.36401662585315
2020-04-06,-67.17938489378358,-48.25361006871701
2020-04-07,-69.00458565816116,-48.839150068550374
2020-04-08,-72.36909532299853,-51.85449098796624
2020-04-09,-73.7565434502356,-50.07781610503195
2020-04-10,-75.60468351737481,-50.89817242665254
2020-04-11,-75.50093052867207,-52.30931030384205
2020-04-12,-83.03536004098136,-77.55178256151689
2020-04-13,-76.00284061517964,-60.67028627668796
2020-04-14,-63.28162970391076,-41.53543458938195
2020-04-15,-64.94702416284748,-43.345818339321085
2020-04-16,-66.11442350876561,-42.64288033248276
2020-04-17,-69.63167040928991,-49.12674013290727
2020-04-18,-75.17888374865453,-55.97499367863894
2020-04-19,-71.79954516723029,-56.4609640635969
2020-04-20,-63.56673115787501,-45.40782885886083
2020-04-21,-68.61123504209792,-47.19877414919738
2020-04-22,-65.52082719233705,-44.30220672066879
2020-04-23,-66.4192570264732,-44.18898706409865
2020-04-24,-70.46436528420523,-51.50488735561518
2020-04-25,-66.45563531589826,-51.00731010734337
2020-04-26,-75.80800706312029,-55.85407794580271
