dayofyear,Food,Shop & Service
2020-01-03,0.0,4.689331770222749
2020-01-04,0.9803921568627416,-1.1178861788617933
2020-01-05,0.44345898004434225,2.8632025450689325
2020-01-06,1.3651877133105783,-0.8871989860583018
2020-01-07,1.4345991561181437,0.0
2020-01-08,1.5899581589958078,1.1124845488257096
2020-01-09,-0.08333333333332416,-0.3654080389768666
2020-01-10,0.1603849238171584,-0.8206330597889888
2020-01-11,0.0,0.0
2020-01-12,1.182557280118246,3.181336161187698
2020-01-13,-0.17064846416383617,0.0
2020-01-14,-0.16877637130802148,-0.4993757802746579
2020-01-15,0.08368200836819106,-0.12360939431396156
2020-01-16,0.24999999999999467,0.12180267965895553
2020-01-17,-0.1603849238171695,0.0
2020-01-18,0.4524886877828038,1.5243902439024293
2020-01-19,1.6260162601626105,0.5302226935312904
2020-01-20,5.972696245733777,18.5044359949303
2020-01-21,1.603375527426154,-0.12484394506865337
2020-01-22,1.4225941422594035,2.348578491965392
2020-01-23,0.5833333333333357,-0.730816077953711
2020-01-24,1.2028869286287103,1.5240328253223856
2020-01-25,0.9803921568627416,0.3048780487804992
2020-01-26,1.6260162601626105,1.378579003181346
2020-01-27,0.59726962457336,0.0
2020-01-28,0.0,0.12484394506866447
2020-01-29,-0.16736401673641543,-2.224969097651419
2020-01-30,0.0,-1.3398294762484775
2020-01-31,-0.9623095429029838,-0.7033997655334079
2020-02-01,-2.790346907993968,1.5243902439024293
2020-02-02,-7.760532150776056,-7.211028632025451
2020-02-03,-2.0477815699658786,-2.91508238276299
2020-02-04,-0.33755274261603185,0.0
2020-02-05,0.0,-0.3708281829418958
2020-02-06,0.0,0.6090133982947776
2020-02-07,0.400962309542896,2.8135990621336537
2020-02-08,-1.1312217194570096,3.35365853658538
2020-02-09,-1.4042867701404282,-0.31813361611877644
2020-02-10,0.0,2.281368821292773
2020-02-11,0.7594936708860578,6.117353308364537
2020-02-12,-0.585774058577404,3.213844252163156
2020-02-13,0.33333333333334103,2.679658952496955
2020-02-14,2.0850040096230815,-5.978898007033995
2020-02-15,0.15082956259426794,-2.1341463414634054
2020-02-16,0.0,0.0
2020-02-17,2.3037542662116106,11.28010139416984
2020-02-18,0.16877637130803258,-0.6242197253433113
2020-02-19,0.5020920502091908,0.0
2020-02-20,0.08333333333332416,0.6090133982947776
2020-02-21,-0.5613472333600655,0.23446658851113966
2020-02-22,-2.1870286576168962,-0.9146341463414531
2020-02-23,-2.512934220251295,-0.7423117709438043
2020-02-24,-0.34129692832766123,0.0
2020-02-25,0.0,0.12484394506866447
2020-02-26,-1.7573221757322233,3.337453646477151
2020-02-27,-0.8333333333333415,0.0
2020-02-28,-1.7642341619887758,-2.461899179366933
2020-02-29,-4.675716440422328,5.9959349593496025
2020-03-01,-6.577974870657799,-1.378579003181335
2020-03-02,-2.5597269624573427,0.6337135614702172
2020-03-03,-0.9282700421940904,0.0
2020-03-04,-2.5104602510460206,-2.966625463535222
2020-03-05,-1.8333333333333313,-3.7758830694275325
2020-03-06,-1.9246190858059453,0.5861664712778492
2020-03-07,-5.052790346907998,-2.5406504065040636
2020-03-08,-7.464892830746495,-4.135737009544016
2020-03-09,-2.4744027303754357,-2.0278833967046994
2020-03-10,-0.5063291139240533,2.2471910112359605
2020-03-11,-1.6736401673640322,4.697156983930784
2020-03-12,-3.083333333333338,10.71863580998782
2020-03-13,-3.8492381716118684,7.151230949589671
2020-03-14,-6.636500754147823,2.8455284552845628
2020-03-15,-9.312638580931266,-3.6055143160127257
2020-03-16,-46.07508532423209,4.055766793409377
2020-03-17,-52.23628691983122,-5.992509363295873
2020-03-18,-53.64016736401675,-5.809641532756493
2020-03-19,-54.50000000000001,-8.038976857490866
2020-03-20,-56.214915797915,-16.17819460726847
2020-03-21,-59.04977375565611,-21.54471544715446
2020-03-22,-59.7930524759793,-20.148462354188755
2020-03-23,-54.01023890784984,-12.674271229404322
2020-03-24,-54.936708860759495,-16.479400749063664
2020-03-25,-54.97907949790795,-17.923362175525337
2020-03-26,-55.166666666666664,-22.16808769792935
2020-03-27,-56.615878107457895,-23.79835873388042
2020-03-28,-59.04977375565611,-28.861788617886177
2020-03-29,-59.719142645971914,-22.905620360551428
2020-03-30,-54.94880546075085,-16.09632446134348
2020-03-31,-56.20253164556962,-14.481897627965045
2020-04-01,-56.06694560669456,-16.563658838071692
2020-04-02,-56.166666666666664,-20.34104750304506
2020-04-03,-56.69607056936648,-24.38452520515827
2020-04-04,-58.97435897435898,-30.589430894308943
2020-04-05,-60.08869179600887,-23.860021208907746
2020-04-06,-56.399317406143346,-16.476552598225613
2020-04-07,-56.79324894514768,-17.47815230961297
2020-04-08,-56.90376569037656,-19.15945611866501
2020-04-09,-55.75,-17.417783191230207
2020-04-10,-56.45549318364074,-19.695193434935533
2020-04-11,-59.72850678733032,-28.04878048780487
2020-04-12,-60.532150776053214,-32.131495227995764
2020-04-13,-54.86348122866895,-17.61723700887199
2020-04-14,-55.0210970464135,-18.85143570536828
2020-04-15,-54.39330543933054,-19.28306551297898
2020-04-16,-54.91666666666666,-20.09744214372716
2020-04-17,-56.214915797915,-22.508792497069162
2020-04-18,-58.748114630467576,-29.67479674796747
2020-04-19,-59.719142645971914,-20.996818663838813
2020-04-20,-54.69283276450512,-17.237008871989868
2020-04-21,-55.696202531645575,-19.35081148564294
2020-04-22,-55.56485355648536,-21.01359703337453
2020-04-23,-56.25,-17.05237515225335
2020-04-24,-56.29510825982358,-24.38452520515827
2020-04-25,-58.82352941176471,-26.6260162601626
