date,home_time_perc,work_time_perc,poi_time_perc,unknown_time_perc,unseen_time_perc
2020-01-03,,,,,
2020-01-04,,,,,
2020-01-05,,,,,
2020-01-06,61.35397620016217,9.073923592184405,3.9249932674193055,4.294214409310799,21.352892530923327
2020-01-07,61.044369740093984,9.53210596088789,3.896500519541414,4.058342315947435,21.468681463529293
2020-01-08,60.84948918015834,9.664993140145564,3.9240181989210137,3.9322312350565416,21.62926824571855
2020-01-09,60.693078114899244,9.761070822349131,3.9338000680208935,3.876637341692868,21.73541365303788
2020-01-10,60.713531704696265,9.79073556003742,3.9473308021187052,3.830788139214346,21.717613793933268
2020-01-11,60.72958714185942,9.799315506132816,3.9720326942078,3.7923879646359238,21.70667669316404
2020-01-12,60.63707907193688,9.771646968475752,4.010185604573089,3.757127738633699,21.823960616380585
2020-01-13,60.684365680429764,9.718310629582346,4.031453919406522,3.7003443185491625,21.8655254520322
2020-01-14,60.79266119294433,9.618941198448788,4.039042982892053,3.6393581486927054,21.909996477022105
2020-01-15,61.40409672192023,9.575521121575852,3.920516633861921,3.560720847355825,21.539144675286156
2020-01-16,61.32418459660419,9.579548855339562,3.957001127064669,3.708445062886001,21.43082035810555
2020-01-17,62.532798917378805,8.608820336506342,3.9506391454610483,3.9416671972161628,20.966074403437624
2020-01-18,62.769832951303286,8.497047136597276,3.9011363992392316,3.95705279035739,20.8749307225028
2020-01-19,63.083357668590054,8.399962210674229,3.861466184103563,3.9694350704203205,20.685778866211816
2020-01-20,63.2465049145661,8.30101824680433,3.846359288338029,4.0004711798829415,20.60564637040857
2020-01-21,63.45946777754138,8.180602472855512,3.8445475065401005,4.040304792625648,20.475077450437343
2020-01-22,63.087893733532496,8.160506232777758,3.927439214440813,4.064107766314047,20.760053052934868
2020-01-23,63.07291631289041,8.155217057329436,3.923326574630332,3.934521237651752,20.914018817498054
2020-01-24,62.01530696368,9.118102516934828,3.89821009461465,3.6931755846609398,21.27520484010957
2020-01-25,61.75623208982222,9.296196290348345,3.898816450937946,3.6408035913933787,21.40795157749811
2020-01-26,61.569850358270465,9.48462759736898,3.891200173506578,3.598675205764532,21.455646665089446
2020-01-27,61.41412720184947,9.661781865501826,3.8799866900039706,3.549398146826719,21.49470609581802
2020-01-28,61.246726444205635,9.847893334426772,3.8716246750027294,3.5065094212760903,21.527246125088766
2020-01-29,61.226698500558406,9.867072091686188,3.9144910700080477,3.5117271686343896,21.48001116911295
2020-01-30,61.26764629419663,9.861180402417395,3.8789431015359073,3.6970394913292037,21.295190710520846
2020-01-31,61.1748230357578,9.900729298410264,3.8793721474797724,3.702364125754353,21.3427113925978
2020-02-01,61.20642529785864,9.892692049385609,3.888590888800391,3.7085417274007515,21.303750036554593
2020-02-02,61.224467109877736,9.867165375562635,3.8924995857630167,3.706095318679907,21.309772610116674
2020-02-03,61.35599046992682,9.821178050291534,3.872049501703619,3.68720190094091,21.263580077137085
2020-02-04,61.85161729450173,9.670677368728121,3.799452194027126,3.65001403856993,21.028239104173068
2020-02-05,61.79736305562997,9.677400325335128,3.806425690881347,3.639092051051536,21.079718877102
2020-02-06,61.91569551717292,9.684019018385364,3.8295620004328503,3.4261734265701844,21.14455003743867
2020-02-07,61.91568953285367,9.668533708725374,3.8429922877721214,3.4292391463662275,21.143545324282588
2020-02-08,61.92537535796448,9.652801125975866,3.8618788705171103,3.4443457556715718,21.115598889870952
2020-02-09,61.871501725961906,9.626251245180406,3.881733389468774,3.462566523356832,21.15794711603207
2020-02-10,61.72681471091433,9.63900167410331,3.912310153660792,3.4831220478504723,21.23875141347108
2020-02-11,61.22690810454514,9.699977734827803,3.9766727288088215,3.5242280680502747,21.572213363767958
2020-02-12,61.192142137669215,9.681321132840766,3.9404801661333546,3.567169481157859,21.618887082198793
2020-02-13,60.841424758743265,9.683844107328765,3.991098210298648,3.7341991822294385,21.74943374139988
2020-02-14,61.66905720958818,8.69356449381507,4.055793113328454,4.030644721872568,21.550940461395715
2020-02-15,62.222850877392524,8.103879453259545,4.082638916683208,4.236114367777519,21.354516384887205
2020-02-16,62.6714396488578,7.573271796814278,4.132470197385506,4.429958444955901,21.192859911986517
2020-02-17,63.14917783973147,7.032895124426679,4.18110112352312,4.639662778869328,20.997163133449398
2020-02-18,63.67066236700509,6.566548666825027,4.216169794211503,4.799472687090018,20.747146484868352
2020-02-19,63.56258189795223,6.569411971724549,4.218891919678209,4.81633890166841,20.832775308976608
2020-02-20,63.777503466659624,6.555356443959521,4.154710687829861,4.64633294330243,20.866096458248574
2020-02-21,62.90895950474666,7.623443769176444,4.0619762820687635,4.329960393876049,21.075660050132093
2020-02-22,62.35964718584022,8.272303514953709,4.004262209695251,4.111786497178974,21.252000592331857
2020-02-23,61.87275102797961,8.854786785717726,3.942898467232718,3.907379094300361,21.422184624769592
2020-02-24,61.62618065435511,9.376583487521415,3.869290257388395,3.6990979324988316,21.428847668236255
2020-02-25,61.12687035176354,9.946931666723215,3.834529310520825,3.541299081607917,21.550369589384513
2020-02-26,61.26087062856964,9.966886622431216,3.8793501792656797,3.5105191977307872,21.38237337200268
2020-02-27,61.34302657770269,9.981127793883374,3.9084716565277273,3.524091765729869,21.243282206156362
2020-02-28,61.27728105007692,9.983278749681352,3.9214797118647233,3.522218659928581,21.295741828448435
2020-02-29,61.36001965219153,9.96014279718889,3.9260227382349475,3.5222623330280864,21.231552479356566
2020-03-01,61.50598613417859,9.90785152009468,3.9277090052292034,3.526604454278396,21.131848886219156
