date,dayofyear,name1_fs,change_expected_encounters,change_mean_n_interactions,change_expected_mean_overlap_duration,change_mean_overlap_duration
2020-01-01,1,all_pois,71.38882639406859,-28.55726615006019,6.3249470961674215,-0.5558987029030349
2020-01-02,2,all_pois,-0.8265643138676726,72.12917679355591,32.76790830945557,71.48692810457517
2020-01-03,3,all_pois,0.0,-21.074378045833928,2.3560209424083656,0.0
2020-01-04,4,all_pois,-0.7764210410476702,-10.52137414029598,-0.7801340512031629,-4.227379025004509
2020-01-05,5,all_pois,-6.059796656115801,-3.0720714817311205,4.7097730642034605,3.7140019860973035
2020-01-06,6,all_pois,-5.928606899448964,30.87122612037525,42.90433235929361,56.958141573526156
2020-01-07,7,all_pois,-1.1813637596161608,-2.958754727929247,-1.6035482770385692,0.100542931831904
2020-01-08,8,all_pois,-1.0717226635058696,-18.435617951478072,3.1036915118739734,1.2559192917438675
2020-01-09,9,all_pois,-2.5259539121004537,-17.97318748704505,-0.8137535816618913,0.16339869281045696
2020-01-10,10,all_pois,-2.4957554641009567,0.8506505905006678,4.5157068062827035,11.263430900333438
2020-01-11,11,all_pois,-4.141384334190878,-1.867384364170632,0.2087682672233804,-1.7808958445763692
2020-01-12,12,all_pois,-10.382875172086248,-4.912020793944749,-4.2536207093168965,-3.7934458788480674
2020-01-13,13,all_pois,1.7975709782770857,-1.8412235585122283,-7.305297929106858,-0.4602235371466201
2020-01-14,14,all_pois,4.637924919087566,62.138411045602076,5.083589218696671,24.35149808968431
2020-01-15,15,all_pois,2.5103711435206177,13.855991986068993,-6.818716200329188,-1.7912291537986458
2020-01-16,16,all_pois,2.4870034768257554,68.03620968259547,11.58739255014327,39.58333333333335
2020-01-17,17,all_pois,1.6025787648141998,1.4034798436418416,-5.453752181500882,-6.002223045572442
2020-01-18,18,all_pois,-5.840177982845751,-8.383981980591514,8.032084386331185,17.143371109911843
2020-01-19,19,all_pois,6.372398226842678,1.926204489303496,2.8851636446573403,2.641509433962264
2020-01-20,20,all_pois,15.381293016077516,20.653630888457574,-0.6733578960741893,-3.4845496383957952
2020-01-21,21,all_pois,-2.135113483907836,-28.35082264767136,-0.19333560786991555,-2.3527046048662625
2020-01-22,22,all_pois,-2.4645365159126964,-10.70185706107023,2.3042558194215745,0.8853201564751999
2020-01-23,23,all_pois,0.17170166233790862,-8.836935422361323,-0.8366762177650644,-1.1029411764705732
2020-01-24,24,all_pois,2.335886971611556,-11.148510537457966,0.0,-0.6669136717302848
2020-01-25,25,all_pois,9.195820686033196,7.237318049446849,2.3184265465333365,4.515200575643097
2020-01-26,26,all_pois,-0.5250112311242061,8.343080649312482,-2.474626525259427,-2.641509433962264
2020-01-27,27,all_pois,-1.7975709782770743,-10.514820446061943,0.6733578960741893,0.46022353714660896
2020-01-28,28,all_pois,-0.897172096957477,1.779643104606876,0.7164790174001956,2.15161874120251
2020-01-29,29,all_pois,-2.0158550746760096,-8.940570213830012,-2.0456148600987545,-0.8853201564751889
2020-01-30,30,all_pois,2.3353124567047523,0.03121585826442175,0.9971346704870988,1.225490196078427
2020-01-31,31,all_pois,2.8729585323714613,3.055423414791792,0.1963350785340268,6.632085957762146
2020-02-01,32,all_pois,0.7764210410476479,41.9082029287521,-0.2087682672233804,5.7744198596869865
2020-02-02,33,all_pois,3.400975772530157,-10.998206552304149,7.515110046755624,17.418073485600782
2020-02-03,34,all_pois,-4.830070874269521,-10.578147482205358,3.265150552661677,2.5641025641025554
2020-02-04,35,all_pois,0.15503858759511324,-1.779643104606876,-0.07960877971113778,-0.8646692137542544
2020-02-05,36,all_pois,0.3835896226613178,3.2919976960555934,2.0456148600987545,1.9147621988881982
2020-02-06,37,all_pois,-4.901572389106623,-0.03121585826443285,2.64756446991401,5.3104575163398735
2020-02-07,38,all_pois,-3.230294559921143,-29.31782650360918,-0.654450261780104,-0.9633197480548472
2020-02-08,39,all_pois,3.9413131194134583,17.786740307904772,-0.6702560158224236,-2.6803381903219963
2020-02-09,40,all_pois,0.5250112311242061,9.62993989427856,-2.1781274945831712,-2.720953326713005
2020-02-10,41,all_pois,4.994236785429519,1.8412235585122168,10.55774361580484,6.859522244137617
2020-02-11,42,all_pois,6.586688506786986,25.56189144745009,-2.7180711929944423,-0.1005429318318818
2020-02-12,43,all_pois,2.7332616363812345,-3.2919976960555823,-6.654126498941947,-3.9324686020177135
2020-02-13,44,all_pois,-0.17170166233791972,10.321162857172418,-3.2893982808023137,-0.16339869281044586
2020-02-14,45,all_pois,-1.658193156615806,-7.941636383549121,-2.1596858638743504,-8.373471656168952
2020-02-15,46,all_pois,1.067001478673979,1.8673843641706436,1.3734754422590756,1.7808958445763468
2020-02-16,47,all_pois,8.311115616171394,-1.926204489303473,-3.158855057589216,-3.4756703078450912
2020-02-17,48,all_pois,22.086075625359673,18.1013791730998,-11.929869139880578,-14.529914529914546
2020-02-18,49,all_pois,12.424563035987447,-3.1960422787797538,0.07960877971113778,-2.9157450231248605
2020-02-19,50,all_pois,11.951807379289649,182.76550064839532,59.18175405596047,89.78793493926291
2020-02-20,51,all_pois,11.310631032122199,3.2905243152371533,0.8137535816618691,-1.2663398692810413
2020-02-21,52,all_pois,8.048375558490562,44.04173251956553,17.14659685863873,33.16042978881066
2020-02-22,53,all_pois,-1.925627410202002,-7.861973713806047,-2.8018899022085426,-7.357438388199323
2020-02-23,54,all_pois,-9.235367432258002,21.301068108553945,2.178127494583193,11.300893743793438
2020-02-24,55,all_pois,-12.086383850825833,-21.483144764259432,-0.7241773599288459,-1.8628095551172508
