date,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
2020-01-03,,,,,,,,
2020-01-04,,,,,,,,
2020-01-05,,,,,,,,
2020-01-06,3.943732979757514,1.9674760656040409,14.460605819666972,1.4241563993191115,16.869896755285257,34.6457824606423,21.093499825027056,5.594849694697752
2020-01-07,3.9559538284511233,1.9906916888230712,14.531480856236856,1.4351022869047896,16.651791564633392,35.01452561531683,20.86409666655437,5.556357493079582
2020-01-08,3.898193422499089,2.0157407806937093,14.650055478868182,1.4584842717089068,16.567928055539547,35.06470798445666,20.759672102051844,5.585217904182064
2020-01-09,3.851899217443023,2.0588516688755694,14.704826609282534,1.4745708244187,16.636358033904802,34.99728104917653,20.63310470245974,5.643107894439116
2020-01-10,3.7638366023274616,2.1589124055476856,14.636723333371785,1.4723361588352335,16.382156536013508,35.6998393703411,20.314970260566273,5.571225332996965
2020-01-11,3.756169333265695,2.249937133658391,14.539792485741737,1.471814187870627,16.132885467422582,36.284758968923526,20.069258932560025,5.49538349055742
2020-01-12,3.7597833321138143,2.3630894335202877,14.444113867210548,1.4577959732999393,15.924280062327565,36.79263478667637,19.86556026544871,5.392742279402763
2020-01-13,3.7864825606537518,2.4738890300379723,14.268465311497419,1.441800599699794,15.691947490066935,37.383210307215954,19.607492531708207,5.3467121691199715
2020-01-14,3.6917095865532317,2.5853175140785685,14.114659580038941,1.422725227986699,15.431963001923457,37.90630452985136,19.469046177455347,5.378274382112399
2020-01-15,3.736223300227394,2.700127439014165,13.905331480930776,1.4039217706253795,15.375498048705596,37.806117564562385,19.460483413979798,5.61229698195451
2020-01-16,3.788825787898907,2.8162170208987667,13.924166149196534,1.4249920537991552,15.420789526589493,37.45548983467552,19.303148574256664,5.8663710526849675
2020-01-17,4.156765296654967,2.8430072495820626,14.513841714462089,1.4596006662612797,15.984124871959333,34.77579899130607,20.203657532756374,6.063203677017826
2020-01-18,4.155357666148964,3.2425584027549226,14.656182913723335,1.4647440956088376,16.18366576647718,33.7433945671561,20.438405865099334,6.115690723031331
2020-01-19,4.213628857845563,3.670991833275614,14.77370701048847,1.4802547925756466,16.363631802469055,32.70705529501647,20.622112819694063,6.168617588635126
2020-01-20,4.207530865814362,4.057165337121912,14.931887885133962,1.4857628368287623,16.574136982511202,31.737744102930233,20.839514233254,6.166257756405573
2020-01-21,4.210899203307861,4.2850670352165885,15.08541634845615,1.5032220489652786,16.859403863831595,30.949433846433394,20.938676488130096,6.16788116565904
2020-01-22,4.2558486307275825,4.4300178127072565,15.141372067451137,1.5319045884757516,16.79034574466169,31.052840739910177,20.682111672898426,6.115558743167983
