date,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
2020-01-03,,,,,,,,
2020-01-04,,,,,,,,
2020-01-05,,,,,,,,
2020-01-06,4.054257194094745,3.249739219513642,19.329231810013624,0.7581751693151757,10.808505525500909,37.15358726285464,20.95571002573055,3.690793792976721
2020-01-07,3.89674922987452,3.4245649219239707,19.21863054769059,0.7947234490536655,10.712474994607257,37.7862094635067,20.38782629595108,3.7788210973922305
2020-01-08,3.7237928879903057,3.5843862238383095,19.10462262405829,0.8187988318439673,10.73585291563257,37.9162897837714,20.038328138155517,4.077928594709655
2020-01-09,3.7096126694288065,3.6855737905798334,18.98507243383867,0.8092378507031992,10.842513785846055,37.743043590888405,19.987326641817948,4.237619236897088
2020-01-10,3.7121026917828295,4.258196382510202,18.560330702158115,0.8035533155070964,10.727863149523161,38.40501581844515,19.32747343035289,4.2054645097205645
2020-01-11,3.6835879819173023,4.718717988936367,18.207189626291136,0.781825748860426,10.617656592651866,38.9324445768498,18.914682877901875,4.143894606591248
2020-01-12,3.6617063154344605,5.311902386477324,17.85017855573836,0.7684350564812806,10.557774735942143,39.277164844350374,18.436445626104923,4.13639247947115
2020-01-13,3.637601305487114,5.8302986847521,17.54981863638504,0.7438880374634387,10.433420041238538,39.66804714451428,18.02378174105968,4.113144409099811
2020-01-14,3.6181152955913585,6.097107597801195,17.281670314560017,0.7288979123081218,10.249576355278249,40.1247364642562,17.83468040452749,4.0652156556773775
2020-01-15,3.6173646003168365,6.214184291199873,17.241847782311673,0.7156193052454708,10.230001871116093,40.169661095343024,17.867095747814137,3.9442253066529056
2020-01-16,3.705270287576025,6.324599511729511,17.269417151902807,0.7589893409200039,10.226222898621442,40.068407302579125,17.59641869313466,4.05067481353644
2020-01-17,4.052463644490611,5.822857913968073,18.177635741133543,0.8730662655046073,10.334953333219042,37.38848914915746,18.61829963157721,4.732234320949469
2020-01-18,4.221116295856172,5.860132337692963,18.39508134804927,0.9115600728476734,10.286327150887033,36.52419923899277,18.77147437805477,5.030109177619361
2020-01-19,4.207248018199052,5.674067215588801,18.778033753183855,0.9895452495923783,10.405593643922982,35.6435434175263,18.914565373216277,5.387403328770366
2020-01-20,4.223957945033181,5.496451915575985,19.23883491757461,1.1192737514437223,10.55636671667545,34.28781098783284,18.92605288300939,6.151250882854843
2020-01-21,4.059704581925639,5.4211719788367345,19.571213609589527,1.1772283075776784,10.777068439684125,33.33659853636416,18.96348529379621,6.693529252225942
2020-01-22,4.054106732352584,5.370083598170157,19.53030600673591,1.1998020208336992,10.923777334527086,33.10559794008307,18.929166806789397,6.8871595605081035
2020-01-23,3.8144308889185803,5.4014132635768135,19.49165227363466,1.1860421109288244,10.999489642035657,33.18622794603955,19.02138176561509,6.89936210925083
2020-01-24,3.39755318334677,6.014023308025687,18.73759804890036,1.0758418450304552,10.986854562332319,35.22717191499753,18.33266412423709,6.228293013129789
2020-01-25,3.190301167548474,6.099918397777891,18.796293505309386,1.0521080698494547,11.132585325157958,35.23852913015772,18.470259365912437,6.020005038286685
2020-01-26,3.319364140224882,6.156146570462736,18.72690530966796,0.9961424006788433,11.08776262105652,35.42605831177865,18.55250142963221,5.735119216498218
2020-01-27,3.3188813401828567,6.2493940727267505,18.64609381648716,0.878529617473869,10.98116599539074,36.057993854910606,18.804862820805976,5.06307848202205
2020-01-28,3.3525142403482713,6.306221803948324,18.622308372397917,0.8271949435474425,10.92192899167615,36.37310915624916,19.05266415304466,4.544058338788086
2020-01-29,3.4115380837481246,6.263934546109716,18.686851851466827,0.8016114180601321,10.655474360385313,36.49828528251906,19.34740878772991,4.334895669980932
2020-01-30,3.436721757672138,6.2230716119989795,18.376126969727714,0.7972792662812948,10.799657721809218,36.62771867725095,19.471657197321065,4.267766797938659
2020-01-31,3.41931622465858,6.167064426723937,18.42613563183548,0.8076275564433503,10.90827011724853,36.516923674192185,19.490147152011776,4.264515216886174
2020-02-01,3.5750814283993124,6.101106515926583,18.406014557156407,0.8018987393642673,10.79792406692999,36.66395320830453,19.395343700340636,4.258677783578285
2020-02-02,3.469408684551124,6.136225482141584,18.388130774006804,0.867914062707289,10.769658121727574,36.50445957661419,19.393573825681322,4.4706294725701134
2020-02-03,3.550758320750335,6.116691173096857,18.42047933027149,0.9370453757587539,10.69835172410513,35.917017751680476,19.471672847890584,4.8879834764463785
2020-02-04,3.6837560539613694,6.127816244515027,18.409223747911717,0.9773714914815667,10.810968345288543,35.24845293476582,19.53528136795219,5.207129814123762
2020-02-05,3.432258753648036,6.202944611755296,18.470278913659026,1.0091290570857632,11.179086381925714,34.91733518526306,19.44370032402844,5.345266772634651
2020-02-06,3.4050313839444555,6.250993299513969,18.76808813490994,0.9946849515426034,10.890524084984724,34.82212046237623,19.505810055586647,5.362747627141428
2020-02-07,3.4020618492154946,6.2104952139292475,18.75858178522425,0.9893322582721074,10.763874401589133,34.861150688890255,19.583242224219656,5.43126157865985
2020-02-08,3.2182707531156587,6.161657903356491,18.810994247882356,0.9924597746247922,10.742919426014463,34.81412191870471,19.75130461677664,5.508271359524901
2020-02-09,3.176324191600857,6.0464809780924,18.847434606551314,0.9140038323088422,10.605826256028477,35.0916304447168,19.8924891661624,5.425810524538929
2020-02-10,3.1929505286807354,5.930102981480151,18.814970243797642,0.8535251440360969,10.523409147422559,35.431821584520144,20.134773609208967,5.1184467608537165
