date,metric,StringencyIndex,dailyDeathsPop,dailyCasesPop,state,prec_weighted,temp_weighted,weekday,dayofyear
2020-07-26,0.7616422996272132,0.5832999999999999,1.9325865170331151,26.664288098645702,AZ,0.1334982446729004,37.536432334898905,6,208
2020-07-27,0.7516779965759558,0.5832999999999999,0.2567772295358684,24.50195353413313,AZ,0.13387759067028274,40.046566017143576,0,209
2020-07-28,0.7775763158085597,0.5832999999999999,0.0,28.475243296424985,AZ,0.6017003908039058,40.68180971560969,1,210
2020-07-29,0.7865349683763615,0.5832999999999999,1.4055174669331745,31.610628414968218,AZ,0.1767784515744967,42.00371870088078,2,211
2020-07-30,0.8056359217683139,0.5832999999999999,0.6216711872973656,34.12434234621409,AZ,0.005372514114163092,42.81554280353871,3,212
2020-07-31,0.9250248803202116,0.5832999999999999,2.3245096568510197,43.40886638258996,AZ,0.004095606884028908,44.38228470031022,4,213
2020-08-01,0.9720939295095691,0.5832999999999999,0.9189921899178448,40.435656356385174,AZ,0.10156093545391363,44.12448824219553,5,214
2020-08-02,0.7578607746265862,0.5832999999999999,0.7162733244947908,19.79887585631828,AZ,0.18488108036729994,41.60529790757013,6,215
2020-08-03,0.7409292631399851,0.7222,0.2432626385076648,13.920028759049707,AZ,0.191095302928276,40.41742583865188,0,216
2020-08-04,0.7943025179195,0.7222,0.1892042743948504,13.622707756429227,AZ,0.049586458327058734,41.95249303395952,1,217
2020-08-05,0.7755362335740889,0.7222,0.8919630078614376,22.947775565889717,AZ,0.002842315188736464,40.779031688173276,2,218
2020-08-06,0.7904520583158898,0.7222,1.1757694194537132,19.636700763979828,AZ,2.3339615215929458e-05,40.38272777502636,3,219
2020-08-07,0.9140149596646922,0.7222,0.9460213719742521,18.87988366640043,AZ,0.06280680495325927,39.974872791561225,4,220
2020-08-08,1.0320013658666942,0.7222,1.0676526912280844,14.244378943726597,AZ,0.005994236560707586,39.779743796485306,5,221
2020-08-09,0.808083095550825,0.7222,0.7568170975794016,11.027906279014136,AZ,0.028235007029061013,41.047352820726964,6,222
2020-08-10,0.7328701842171886,0.7037,0.1756896833666468,8.10875461692216,AZ,0.003901535210016621,41.54838761914605,0,223
2020-08-11,0.7431461509854964,0.6481,0.0540583641128144,16.406713508239168,AZ,0.07391568478861074,41.552176604761755,1,224
2020-08-12,0.7686412250485115,0.6481,0.608156596269162,9.54130126591174,AZ,0.1012782707867972,40.725440578151634,2,225
2020-08-13,0.7702208603487579,0.6481,2.0001594721741327,18.258212479103058,AZ,1.4986992941836967,41.241442483081606,3,226
2020-08-14,0.9337040688093072,0.6481,0.4865252770153296,12.528025883144734,AZ,0.09494060131173454,43.05334603711997,4,227
2020-08-15,1.0232827906205981,0.6481,0.5405836411281439,12.60911342931396,AZ,0.03427985654548673,44.019502025104245,5,228
2020-08-16,0.7938837828032411,0.6481,0.9325067809460484,11.933383877903779,AZ,0.256672172864329,43.01180346674806,6,229
2020-08-17,0.7339961533219246,0.6296,0.1892042743948504,6.324828601199283,AZ,0.6226874488799016,43.251558487748774,0,230
2020-08-18,0.7598532550491048,0.6296,0.0,12.365850790806295,AZ,0.24931895878713015,43.01150153806286,1,231
2020-08-19,0.7704567860663817,0.6296,0.3108355936486828,8.608794484965694,AZ,0.12377014227112275,42.57423783472071,2,232
2020-08-20,0.7810923580047362,0.5926,1.419032057961378,9.771049313391202,AZ,0.6985803430380947,42.921613727825886,3,233
2020-08-21,0.9619483195820214,0.5926,0.67572955141018,8.365531846458028,AZ,3.530874826285652,41.459677020548725,4,234
2020-08-22,1.0805286425039664,0.5926,0.0540583641128144,13.460532664090787,AZ,0.12235345352522058,36.852830351650056,5,235
